county,month,covid,retail
CLEAR CREEK,9/1/2020,287.7,126706
CLEAR CREEK,10/1/2020,2792.5,120276
CLEAR CREEK,11/1/2020,8213.3,97821
CLEAR CREEK,12/1/2020,6488.4,98791
CLEAR CREEK,1/1/2021,5061.5,104211
CLEAR CREEK,2/1/2021,1314,110815
CLEAR CREEK,3/1/2021,2751.6,112467
CLEAR CREEK,4/1/2021,2381.9,123596
CLEAR CREEK,5/1/2021,2155.8,113027
CLEAR CREEK,6/1/2021,647,97586
CONEJOS,3/1/2020,0,#N/A
CONEJOS,4/1/2020,0,#N/A
CONEJOS,5/1/2020,98.4,#N/A
CONEJOS,6/1/2020,1286.7,#N/A
CONEJOS,7/1/2020,723.1,#N/A
CONEJOS,8/1/2020,551.6,#N/A
CONEJOS,9/1/2020,380.1,#N/A
CONEJOS,10/1/2020,3234.9,#N/A
CONEJOS,11/1/2020,9116.2,#N/A
CONEJOS,12/1/2020,12902.8,#N/A
CONEJOS,1/1/2021,6580.2,#N/A
CONEJOS,2/1/2021,3320.8,#N/A
CONEJOS,3/1/2021,1433.9,#N/A
CONEJOS,4/1/2021,3431,#N/A
CONEJOS,5/1/2021,14152.8,#N/A
CONEJOS,6/1/2021,3430.9,#N/A
COSTILLA,3/1/2020,232.4,47087
COSTILLA,4/1/2020,310.1,59071
COSTILLA,5/1/2020,645.7,59442
COSTILLA,6/1/2020,2401.7,86597
COSTILLA,7/1/2020,568.2,95184
COSTILLA,8/1/2020,1549.7,105632
COSTILLA,9/1/2020,77.5,103090
COSTILLA,10/1/2020,852.1,98797
COSTILLA,11/1/2020,8677.5,60782
COSTILLA,12/1/2020,11983.6,#N/A
COSTILLA,1/1/2021,3590,#N/A
COSTILLA,2/1/2021,2737.7,#N/A
COSTILLA,3/1/2021,2892.7,#N/A
COSTILLA,4/1/2021,981.3,#N/A
COSTILLA,5/1/2021,6533.9,#N/A
COSTILLA,6/1/2021,1317.3,#N/A
CROWLEY,3/1/2020,116.2,#N/A
CROWLEY,4/1/2020,116.2,#N/A
CROWLEY,5/1/2020,348.6,#N/A
CROWLEY,6/1/2020,0,#N/A
CROWLEY,7/1/2020,0,#N/A
CROWLEY,8/1/2020,0,#N/A
CROWLEY,9/1/2020,0,#N/A
CROWLEY,10/1/2020,1989.3,#N/A
CROWLEY,11/1/2020,7510.3,#N/A
CROWLEY,12/1/2020,17357.6,#N/A
CROWLEY,1/1/2021,2619.3,#N/A
CROWLEY,2/1/2021,2337.8,#N/A
CROWLEY,3/1/2021,414.9,#N/A
CROWLEY,4/1/2021,2553.1,#N/A
CROWLEY,5/1/2021,4094.8,#N/A
CROWLEY,6/1/2021,680.1,#N/A
CUSTER,3/1/2020,0,#N/A
CUSTER,4/1/2020,276.6,#N/A
CUSTER,5/1/2020,0,#N/A
CUSTER,6/1/2020,0,#N/A
CUSTER,7/1/2020,1186.1,#N/A
CUSTER,8/1/2020,1027.8,#N/A
CUSTER,9/1/2020,237.3,#N/A
